filename,frac_val,macro_f1,f1_against,f1_favor,f1_none,f_avg,approach
subset_train_10.csv,10,0.6458405922013778,0.5555555555555556,0.8036529680365296,0.5783132530120482,0.6796042617960426,ICL
subset_train_20.csv,20,0.6276477146042363,0.5641025641025641,0.7536231884057971,0.5652173913043478,0.6588628762541806,ICL
subset_train_30.csv,30,0.6380509934785927,0.5882352941176471,0.7741935483870968,0.5517241379310345,0.6812144212523719,ICL
subset_train_40.csv,40,0.6429622181256168,0.5555555555555556,0.8054298642533937,0.5679012345679012,0.6804927099044746,ICL
subset_train_50.csv,50,0.6841288166589372,0.6060606060606061,0.8198198198198198,0.6265060240963856,0.7129402129402129,ICL
subset_train_60.csv,60,0.656017717166419,0.5161290322580645,0.8177777777777778,0.6341463414634146,0.6669534050179211,ICL
subset_train_70.csv,70,0.6584128320239432,0.5454545454545454,0.8125,0.6172839506172839,0.6789772727272727,ICL
subset_train_80.csv,80,0.6625396825396827,0.5142857142857142,0.8333333333333334,0.64,0.6738095238095239,ICL
subset_train_90.csv,90,0.6309309309309309,0.5,0.7927927927927928,0.6,0.6463963963963963,ICL
subset_train_100.csv,100,0.6303850478886347,0.47058823529411764,0.8108108108108109,0.6097560975609756,0.6406995230524642,ICL
